"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","2026-08-11","passed","2026-08-11","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-08-11","passed","2026-08-11","","test_markers","",""
"","1494","User login with wrong email or password","LMS system","2026-08-11","passed","2026-08-11","Authorization","Authentication","",""
"","1967","Create course","LMS system","2026-08-11","passed","2026-08-11","Courses","Courses","",""
"","1460","Navigation from login page to registration page","LMS system","2026-08-11","passed","2026-08-11","Authorization","Authentication","",""
"","1615","User login with wrong email or password","LMS system","2026-08-11","passed","2026-08-11","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-08-11","passed","2026-08-11","TestUserAuthentication","test_markers","",""
"","2261","Edit course","LMS system","2026-08-11","passed","2026-08-11","Courses","Courses","",""
"","1456","Check displaying of dashboard page","LMS system","2026-08-11","passed","2026-08-11","Dashboard","Dashboard","",""
"","1477","Check displaying of empty courses list","LMS system","2026-08-11","passed","2026-08-11","Courses","Courses","",""
"","1868","User login with wrong email or password","LMS system","2026-08-11","passed","2026-08-11","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-08-11","passed","2026-08-11","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","2026-08-11","passed","2026-08-11","TestUserAuthentication","test_markers","",""
"","0","test_critial_login","tests.pytest","2026-08-11","passed","2026-08-11","","test_markers","",""
"","2616","User login with correct email and password","LMS system","2026-08-11","passed","2026-08-11","Authorization","Authentication","",""
"","1622","Registration with correct email, username and password","LMS system","2026-08-11","passed","2026-08-11","Registration","Authentication","",""
